search_id	layer	description	query	english_filtered_query	notes
L3_CBFFun	Layer 3	Ciliary beat frequency measurement methods	("ciliary beat frequency" OR CBF) AND (airway OR bronchial OR respiratory) AND ("high-speed video" OR "video microscopy" OR videomicroscopy OR DDM OR "differential dynamic microscopy")	(("ciliary beat frequency" OR CBF) AND (airway OR bronchial OR respiratory) AND ("high-speed video" OR "video microscopy" OR videomicroscopy OR DDM OR "differential dynamic microscopy")) AND english[lang]	Corrected parentheses; added airway context and DDM expansion.
L3_MCCFun	Layer 3	Mucociliary clearance measurement methods	("mucociliary clearance") AND ("particle tracking" OR "bead transport" OR "fluorescence imaging") AND (mouse OR human OR epithelial)	(("mucociliary clearance") AND ("particle tracking" OR "bead transport" OR "fluorescence imaging") AND (mouse OR human OR epithelial)) AND english[lang]	Measurement-centered search.
L3_MUC5ACFun	Layer 3	MUC5AC measurement methods	(MUC5AC OR "mucin 5AC") AND ("airway epithelium" OR airway OR bronchial OR respiratory) AND (immunohistochemistry OR IHC OR immunofluorescence OR fluorescence OR "confocal microscopy" OR "western blot" OR immunoblot OR ELISA OR PCR OR qPCR OR RT-PCR OR "real-time PCR" OR mRNA OR transcript OR RNA-seq OR "surface plasmon resonance" OR SPR)	((MUC5AC OR "mucin 5AC") AND ("airway epithelium" OR airway OR bronchial OR respiratory) AND (immunohistochemistry OR IHC OR immunofluorescence OR fluorescence OR "confocal microscopy" OR "western blot" OR immunoblot OR ELISA OR PCR OR qPCR OR RT-PCR OR "real-time PCR" OR mRNA OR transcript OR RNA-seq OR "surface plasmon resonance" OR SPR)) AND english[lang]	Corrected parentheses; added airway context and SPR.
L3_CFTRFun	Layer 3	CFTR function and assay methods	("cystic fibrosis transmembrane conductance regulator" OR CFTR) AND (function OR activity OR activation OR dysfunction OR conductance OR "channel activity" OR "chloride transport" OR "chloride secretion" OR "anion secretion" OR "short-circuit current" OR "short circuit current" OR "Ussing chamber" OR "patch clamp" OR "forskolin-induced swelling" OR FIS OR "nasal potential difference" OR "intestinal current measurement" OR "reporter assay" OR "reporter gene")	(("cystic fibrosis transmembrane conductance regulator" OR CFTR) AND (function OR activity OR activation OR dysfunction OR conductance OR "channel activity" OR "chloride transport" OR "chloride secretion" OR "anion secretion" OR "short-circuit current" OR "short circuit current" OR "Ussing chamber" OR "patch clamp" OR "forskolin-induced swelling" OR FIS OR "nasal potential difference" OR "intestinal current measurement" OR "reporter assay" OR "reporter gene")) AND english[lang]	Corrected spacing around reporter assay terms.
L4_MCCEnd	Layer 4	PM + pulmonary context + mucociliary clearance	("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("Mucociliary Clearance" OR "mucociliary clearance" OR MCC)	(("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("Mucociliary Clearance" OR "mucociliary clearance" OR MCC)) AND english[lang]	Layer 4 revised: removed MeSH tags and used pulmonary context keywords.
L4_GobCellEnd	Layer 4	PM + pulmonary context + goblet cells	("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("Goblet Cells" OR "goblet cell" OR "goblet cells")	(("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("Goblet Cells" OR "goblet cell" OR "goblet cells")) AND english[lang]	Layer 4 revised: removed MeSH tags and used pulmonary context keywords.
L4_MucEnd	Layer 4	PM + pulmonary context + mucins	("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND (MUC5AC OR MUC5B OR mucin OR mucins)	(("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND (MUC5AC OR MUC5B OR mucin OR mucins)) AND english[lang]	Layer 4 revised: removed MeSH tags and used pulmonary context keywords.
L4_MucusEnd	Layer 4	PM + pulmonary context + mucus hypersecretion	("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("mucus hypersecretion" OR "mucus secretion" OR "mucus production")	(("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("mucus hypersecretion" OR "mucus secretion" OR "mucus production")) AND english[lang]	Layer 4 revised: removed MeSH tags and used pulmonary context keywords.
L4_EGFREnd	Layer 4	PM + pulmonary context + EGFR	("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND (EGFR OR "epidermal growth factor receptor" OR pEGFR OR "phospho-EGFR")	(("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND (EGFR OR "epidermal growth factor receptor" OR pEGFR OR "phospho-EGFR")) AND english[lang]	Layer 4 revised: removed MeSH tags and used pulmonary context keywords.
L4_CBFEnd	Layer 4	PM + pulmonary context + ciliary beat frequency	("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("ciliary beat frequency" OR CBF OR cilia)	(("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("ciliary beat frequency" OR CBF OR cilia)) AND english[lang]	Layer 4 revised: removed MeSH tags and used pulmonary context keywords.
L4_CillCellEnd	Layer 4	PM + pulmonary context + ciliated cell number	("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("ciliated cell" OR "ciliated cells" OR "multiciliated cell" OR "multiciliated cells")	(("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("ciliated cell" OR "ciliated cells" OR "multiciliated cell" OR "multiciliated cells")) AND english[lang]	Layer 4 revised: removed MeSH tags and used pulmonary context keywords.
L4_FoxJEnd	Layer 4	PM + pulmonary context + FOXJ1	("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND (FOXJ1 OR FoxJ1)	(("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND (FOXJ1 OR FoxJ1)) AND english[lang]	Layer 4 revised: removed MeSH tags and used pulmonary context keywords.
L4_MotCillEnd	Layer 4	PM + pulmonary context + motile cilia number	("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("motile cilia" OR ciliogenesis OR "cilia number")	(("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("motile cilia" OR ciliogenesis OR "cilia number")) AND english[lang]	Layer 4 revised: removed MeSH tags and used pulmonary context keywords.
L4_CillLenEnd	Layer 4	PM + pulmonary context + cilia length	("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("cilia length" OR "ciliary length")	(("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("cilia length" OR "ciliary length")) AND english[lang]	Layer 4 revised: removed MeSH tags and used pulmonary context keywords.
L4_OxStressEnd	Layer 4	PM + pulmonary context + oxidative stress	("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("Oxidative Stress" OR ROS OR "reactive oxygen species")	(("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("Oxidative Stress" OR ROS OR "reactive oxygen species")) AND english[lang]	Layer 4 revised: removed MeSH tags and used pulmonary context keywords.
L4_CFTREnd	Layer 4	PM + pulmonary context + CFTR	("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND (CFTR OR "cystic fibrosis transmembrane conductance regulator")	(("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND (CFTR OR "cystic fibrosis transmembrane conductance regulator")) AND english[lang]	Layer 4 revised: removed MeSH tags and used pulmonary context keywords.
L4_AnionSec	Layer 4	PM + pulmonary context + anion secretion	("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("anion secretion" OR "chloride secretion" OR "short-circuit current" OR "short circuit current")	(("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("anion secretion" OR "chloride secretion" OR "short-circuit current" OR "short circuit current")) AND english[lang]	Layer 4 revised: removed MeSH tags and used pulmonary context keywords.
L4_ENaCEnd	Layer 4	PM + pulmonary context + ENaC	("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND (ENaC OR "epithelial sodium channel")	(("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND (ENaC OR "epithelial sodium channel")) AND english[lang]	Layer 4 revised: removed MeSH tags and used pulmonary context keywords.
L4_AirwayHydrEnd	Layer 4	PM + pulmonary context + airway hydration	("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("airway hydration" OR "airway surface liquid")	(("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("airway hydration" OR "airway surface liquid")) AND english[lang]	Layer 4 revised: removed MeSH tags and used pulmonary context keywords.
L4_ASLHeightEnd	Layer 4	PM + pulmonary context + ASL height	("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("ASL height" OR "airway surface liquid height")	(("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("ASL height" OR "airway surface liquid height")) AND english[lang]	Layer 4 revised: removed MeSH tags and used pulmonary context keywords.
L4_LungFuncEnd	Layer 4	PM + pulmonary context + lung function	("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("lung function" OR spirometry OR "pulmonary function")	(("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("lung function" OR spirometry OR "pulmonary function")) AND english[lang]	Layer 4 revised: removed MeSH tags and used pulmonary context keywords.
L4_FEV1End	Layer 4	PM + pulmonary context + FEV1	("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND (FEV1 OR "forced expiratory volume")	(("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND (FEV1 OR "forced expiratory volume")) AND english[lang]	Layer 4 revised: removed MeSH tags and used pulmonary context keywords.
L4_FEVEVCEnd	Layer 4	PM + pulmonary context + FEV1/FVC ratio	("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("FEV1/FVC" OR "FEV1 FVC ratio")	(("Particulate Matter" OR PM2.5) AND ("Respiratory Tract" OR airway OR airways OR lung OR lungs OR pulmonary OR bronchial OR bronchi OR bronchiole OR bronchioles) AND ("FEV1/FVC" OR "FEV1 FVC ratio")) AND english[lang]	Layer 4 revised: removed MeSH tags and used pulmonary context keywords.
